UNIPROT:Q9UN73:T116:PRGE	Protocadherin alpha-6|PCDHA6	UNIPROT:Q9UN73|GENE:56142
UNIPROT:Q5TFG8:T116:PRGE	Protein FAM164B|ZC2HC1B	UNIPROT:Q5TFG8|GENE:153918
UNIPROT:Q502X0:T116:PRGE	MORN repeat-containing protein 2|MORN2	UNIPROT:Q502X0|GENE:729967
UNIPROT:P18621:T116:PRGE	60S ribosomal protein L17|RPL17	UNIPROT:P18621|GENE:6139
UNIPROT:Q96FA3:T116:PRGE	Pellino-1|PELI1	UNIPROT:Q96FA3|GENE:57162
UNIPROT:P80723:T116:PRGE	Brain acid soluble protein 1|BASP1	UNIPROT:P80723|GENE:10409
UNIPROT:Q8N5Q1:T116:PRGE	Protein FAM71E2|FAM71E2	UNIPROT:Q8N5Q1|GENE:284418
UNIPROT:Q05516:T116:PRGE	Zinc finger and BTB domain-containing protein 16|ZBTB16	UNIPROT:Q05516|GENE:7704
UNIPROT:Q86V20:T116:PRGE	Protein FAM35A|FAM35A	UNIPROT:Q86V20|GENE:54537
UNIPROT:Q99990:T116:PRGE	Transcription cofactor vestigial-like protein 1|VGLL1	UNIPROT:Q99990|GENE:51442
UNIPROT:P52655:T116:PRGE	Transcription initiation factor IIA subunit 1|GTF2A1	UNIPROT:P52655|GENE:2957
UNIPROT:Q8NEQ6:T116:PRGE	Putative uncharacterized protein C1orf64|C1orf64	UNIPROT:Q8NEQ6|GENE:149563
UNIPROT:Q6TFL3:T116:PRGE	Uncharacterized protein C9orf93|C9orf93	UNIPROT:Q6TFL3|GENE:203238
UNIPROT:P51993:T116:PRGE	Alpha-(1,3)-fucosyltransferase|FUT6	UNIPROT:P51993|GENE:2528
UNIPROT:P19823:T116:PRGE	ITI-HC2|ITIH2	UNIPROT:P19823|GENE:3698
UNIPROT:P35212:T116:PRGE	Gap junction alpha-4 protein|GJA4	UNIPROT:P35212|GENE:2701
UNIPROT:Q9Y693:T116:PRGE	Lipoma HMGIC fusion partner|LHFP	UNIPROT:Q9Y693|GENE:10186
UNIPROT:Q8N184:T116:PRGE	Zinc finger protein 567|ZNF567	UNIPROT:Q8N184|GENE:163081
UNIPROT:P67775:T116:PRGE	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform|PPP2CA	UNIPROT:P67775|GENE:5515
UNIPROT:Q8N6M5:T116:PRGE	Probable allantoicase|ALLC	UNIPROT:Q8N6M5|GENE:55821
UNIPROT:P04233:T116:PRGE	HLA class II histocompatibility antigen gamma chain|CD74	UNIPROT:P04233|GENE:972
UNIPROT:Q9NPG2:T116:PRGE	Neuroglobin|NGB	UNIPROT:Q9NPG2|GENE:58157
UNIPROT:Q6P2H8:T116:PRGE	Transmembrane protein 53|TMEM53	UNIPROT:Q6P2H8|GENE:79639
UNIPROT:Q96PT4:T116:PRGE	Putative double homeobox protein 3|DUX3	UNIPROT:Q96PT4|GENE:26582
UNIPROT:Q8TAV3:T116:PRGE	Cytochrome P450 2W1|CYP2W1	UNIPROT:Q8TAV3|GENE:54905
UNIPROT:Q9Y5H6:T116:PRGE	PCDH-alpha-8|PCDHA8	UNIPROT:Q9Y5H6|GENE:56140
UNIPROT:Q86XT4:T116:PRGE	E3 ubiquitin-protein ligase TRIM50|TRIM50	UNIPROT:Q86XT4|GENE:135892
UNIPROT:Q8TCT7:T116:PRGE	SPP-like 2B|SPPL2B	UNIPROT:Q8TCT7|GENE:56928
UNIPROT:Q9NZJ6:T116:PRGE	Hexaprenyldihydroxybenzoate methyltransferase, mitochondrial|COQ3	UNIPROT:Q9NZJ6|GENE:51805
UNIPROT:Q9BRX9:T116:PRGE	WD repeat domain-containing protein 83|WDR83	UNIPROT:Q9BRX9|GENE:84292
UNIPROT:Q8NAG6:T116:PRGE	Ankyrin repeat and LEM domain-containing protein 1|ANKLE1	UNIPROT:Q8NAG6|GENE:126549
UNIPROT:Q9NWC8:T116:PRGE	Putative protein LRRC37A4	UNIPROT:Q9NWC8
UNIPROT:P61577:T116:PRGE	HERV-K_3q21.2 provirus Rec protein	UNIPROT:P61577
UNIPROT:Q8IV01:T116:PRGE	Synaptotagmin-12|SYT12	UNIPROT:Q8IV01|GENE:91683
UNIPROT:A6NJ08:T116:PRGE	MBD3-like protein 5|MBD3L5	UNIPROT:A6NJ08|GENE:284428
UNIPROT:Q8N0Z3:T116:PRGE	Coiled-coil domain-containing protein 52|SPICE1	UNIPROT:Q8N0Z3|GENE:152185
UNIPROT:B1AKI9:T116:PRGE	Isthmin-1|ISM1	UNIPROT:B1AKI9|GENE:140862
UNIPROT:Q96M61:T116:PRGE	Melanoma-associated antigen B18|MAGEB18	UNIPROT:Q96M61|GENE:286514
UNIPROT:Q8IVW4:T116:PRGE	Cyclin-dependent kinase-like 3|CDKL3	UNIPROT:Q8IVW4|GENE:51265
UNIPROT:Q12789:T116:PRGE	General transcription factor 3C polypeptide 1|GTF3C1	UNIPROT:Q12789|GENE:2975
UNIPROT:Q9H2L5:T116:PRGE	Ras association domain-containing protein 4|RASSF4	UNIPROT:Q9H2L5|GENE:83937
UNIPROT:Q6PEX7:T116:PRGE	Uncharacterized protein C1orf223|ATPAF1-AS1	UNIPROT:Q6PEX7|GENE:374973
UNIPROT:Q8WZ94:T116:PRGE	Olfactory receptor 5P3|OR5P3	UNIPROT:Q8WZ94|GENE:120066
UNIPROT:O95081:T116:PRGE	Arf-GAP domain and FG repeats-containing protein 2|AGFG2	UNIPROT:O95081|GENE:3268
UNIPROT:Q9BWJ5:T116:PRGE	SF3b5|SF3B5	UNIPROT:Q9BWJ5|GENE:83443
UNIPROT:Q6VN20:T116:PRGE	RanBP10|RANBP10	UNIPROT:Q6VN20|GENE:57610
UNIPROT:Q10570:T116:PRGE	Cleavage and polyadenylation specificity factor subunit 1|CPSF1	UNIPROT:Q10570|GENE:29894
UNIPROT:O95551:T116:PRGE	5'-tyrosyl-DNA phosphodiesterase|TDP2	UNIPROT:O95551|GENE:51567
UNIPROT:Q9P286:T116:PRGE	Serine/threonine-protein kinase PAK 7|PAK7	UNIPROT:Q9P286|GENE:57144
UNIPROT:Q0ZLH3:T116:PRGE	Pejvakin|DFNB59	UNIPROT:Q0ZLH3|GENE:494513
UNIPROT:Q99569:T116:PRGE	Plakophilin-4|PKP4	UNIPROT:Q99569|GENE:8502
UNIPROT:Q96M69:T116:PRGE	Leucine-rich repeat and guanylate kinase domain-containing protein|LRGUK	UNIPROT:Q96M69|GENE:136332
UNIPROT:P09017:T116:PRGE	Homeobox protein Hox-C4|HOXC4	UNIPROT:P09017|GENE:3221
UNIPROT:Q9BWE0:T116:PRGE	Replication initiator 1|REPIN1	UNIPROT:Q9BWE0|GENE:29803
UNIPROT:A6NHN6:T116:PRGE	Nuclear pore complex-interacting protein-like 2	UNIPROT:A6NHN6
UNIPROT:Q9NWW5:T116:PRGE	Ceroid-lipofuscinosis neuronal protein 6|CLN6	UNIPROT:Q9NWW5|GENE:54982
UNIPROT:Q5SV17:T116:PRGE	Transmembrane protein C1orf70|TMEM240	UNIPROT:Q5SV17|GENE:339453
UNIPROT:Q15126:T116:PRGE	Phosphomevalonate kinase|PMVK	UNIPROT:Q15126|GENE:10654
UNIPROT:Q2KHT3:T116:PRGE	Protein CLEC16A|CLEC16A	UNIPROT:Q2KHT3|GENE:23274
UNIPROT:Q05397:T116:PRGE	Focal adhesion kinase 1|PTK2	UNIPROT:Q05397|GENE:5747
UNIPROT:Q13485:T116:PRGE	Mothers against decapentaplegic homolog 4|SMAD4	UNIPROT:Q13485|GENE:4089
UNIPROT:Q9NZ45:T116:PRGE	CDGSH iron sulfur domain-containing protein 1|CISD1	UNIPROT:Q9NZ45|GENE:55847
UNIPROT:Q9HB09:T116:PRGE	Bcl2-L-12|BCL2L12	UNIPROT:Q9HB09|GENE:83596
UNIPROT:O14594:T116:PRGE	Neurocan core protein|NCAN	UNIPROT:O14594|GENE:1463
UNIPROT:Q8N5J4:T116:PRGE	Transcription factor Spi-C|SPIC	UNIPROT:Q8N5J4|GENE:121599
UNIPROT:P30048:T116:PRGE	Thioredoxin-dependent peroxide reductase, mitochondrial|PRDX3	UNIPROT:P30048|GENE:10935
UNIPROT:Q9HCG7:T116:PRGE	Non-lysosomal glucosylceramidase|GBA2	UNIPROT:Q9HCG7|GENE:57704
UNIPROT:Q9H1M4:T116:PRGE	Beta-defensin 127|DEFB127	UNIPROT:Q9H1M4|GENE:140850
UNIPROT:Q9NW13:T116:PRGE	RNA-binding protein 28|RBM28	UNIPROT:Q9NW13|GENE:55131
UNIPROT:Q53TQ3:T116:PRGE	INO80 complex subunit D|INO80D	UNIPROT:Q53TQ3|GENE:54891
UNIPROT:Q9BV81:T116:PRGE	Transmembrane protein 93|TMEM93	UNIPROT:Q9BV81|GENE:83460
UNIPROT:P00414:T116:PRGE	Cytochrome c oxidase subunit 3|COX3	UNIPROT:P00414|GENE:4514
UNIPROT:Q6ZW76:T116:PRGE	Ankyrin repeat and SAM domain-containing protein 3|ANKS3	UNIPROT:Q6ZW76|GENE:124401
UNIPROT:Q5JU00:T116:PRGE	Tcte-1|TCTE1	UNIPROT:Q5JU00|GENE:202500
UNIPROT:Q13586:T116:PRGE	Stromal interaction molecule 1|STIM1	UNIPROT:Q13586|GENE:6786
UNIPROT:Q8IVF5:T116:PRGE	T-lymphoma invasion and metastasis-inducing protein 2|TIAM2	UNIPROT:Q8IVF5|GENE:26230
UNIPROT:Q6PKX4:T116:PRGE	Docking protein 6|DOK6	UNIPROT:Q6PKX4|GENE:220164
UNIPROT:Q96EL3:T116:PRGE	MRP-L53|MRPL53	UNIPROT:Q96EL3|GENE:116540
UNIPROT:Q9NWH7:T116:PRGE	Spermatogenesis-associated protein 6|SPATA6	UNIPROT:Q9NWH7|GENE:54558
UNIPROT:Q96GX2:T116:PRGE	Putative ataxin-7-like protein 3B|ATXN7L3B	UNIPROT:Q96GX2|GENE:552889
UNIPROT:A8MSY0:T116:PRGE	CTD phosphatase SSU72-like protein 2	UNIPROT:A8MSY0
UNIPROT:Q9NYI0:T116:PRGE	PH and SEC7 domain-containing protein 3|PSD3	UNIPROT:Q9NYI0|GENE:23362
UNIPROT:Q7Z4Y8:T116:PRGE	ATPase subunit g 2|ATP5L2	UNIPROT:Q7Z4Y8|GENE:267020
UNIPROT:Q02410:T116:PRGE	Amyloid beta A4 precursor protein-binding family A member 1|APBA1	UNIPROT:Q02410|GENE:320
UNIPROT:P48664:T116:PRGE	Excitatory amino acid transporter 4|SLC1A6	UNIPROT:P48664|GENE:6511
UNIPROT:P11117:T116:PRGE	LAP|ACP2	UNIPROT:P11117|GENE:53
UNIPROT:Q8N565:T116:PRGE	Melanoregulin|MREG	UNIPROT:Q8N565|GENE:55686
UNIPROT:Q9P2X7:T116:PRGE	Deleted in esophageal cancer 1|DEC1	UNIPROT:Q9P2X7|GENE:50514
UNIPROT:P20618:T116:PRGE	Proteasome subunit beta type-1|PSMB1	UNIPROT:P20618|GENE:5689
UNIPROT:Q96BI3:T116:PRGE	Gamma-secretase subunit APH-1A|APH1A	UNIPROT:Q96BI3|GENE:51107
UNIPROT:Q6NX49:T116:PRGE	Zinc finger protein 544|ZNF544	UNIPROT:Q6NX49|GENE:27300
UNIPROT:O43257:T116:PRGE	Zinc finger HIT domain-containing protein 1|ZNHIT1	UNIPROT:O43257|GENE:10467
UNIPROT:P50897:T116:PRGE	PPT-1|PPT1	UNIPROT:P50897|GENE:5538
UNIPROT:O95813:T116:PRGE	Cerberus|CER1	UNIPROT:O95813|GENE:9350
UNIPROT:P04220:T116:PRGE	Ig mu heavy chain disease protein	UNIPROT:P04220
UNIPROT:Q9UKU7:T116:PRGE	Isobutyryl-CoA dehydrogenase, mitochondrial|ACAD8	UNIPROT:Q9UKU7|GENE:27034
UNIPROT:Q92506:T116:PRGE	Estradiol 17-beta-dehydrogenase 8|HSD17B8	UNIPROT:Q92506|GENE:7923
UNIPROT:P04438:T116:PRGE	Ig heavy chain V-II region SESS	UNIPROT:P04438
UNIPROT:Q9Y2Z9:T116:PRGE	Ubiquinone biosynthesis monooxygenase COQ6|COQ6	UNIPROT:Q9Y2Z9|GENE:51004
UNIPROT:Q8N9P6:T116:PRGE	Uncharacterized protein C9orf163|C9orf163	UNIPROT:Q8N9P6|GENE:158055
UNIPROT:O15143:T116:PRGE	Actin-related protein 2/3 complex subunit 1B|ARPC1B	UNIPROT:O15143|GENE:10095
UNIPROT:Q9NQ48:T116:PRGE	Leucine zipper transcription factor-like protein 1|LZTFL1	UNIPROT:Q9NQ48|GENE:54585
UNIPROT:Q8TDQ0:T116:PRGE	Hepatitis A virus cellular receptor 2|HAVCR2	UNIPROT:Q8TDQ0|GENE:84868
UNIPROT:Q5VTT2:T116:PRGE	Uncharacterized protein C9orf135|C9orf135	UNIPROT:Q5VTT2|GENE:138255
UNIPROT:P57768:T116:PRGE	Sorting nexin-16|SNX16	UNIPROT:P57768|GENE:64089
UNIPROT:P57721:T116:PRGE	Poly(rC)-binding protein 3|PCBP3	UNIPROT:P57721|GENE:54039
UNIPROT:P08069:T116:PRGE	Insulin-like growth factor 1 receptor|IGF1R	UNIPROT:P08069|GENE:3480
UNIPROT:Q8IWB4:T116:PRGE	Protein FAM75A7|FAM75A7	UNIPROT:Q8IWB4|GENE:26165
UNIPROT:Q9UKJ0:T116:PRGE	Paired immunoglobulin-like type 2 receptor beta|PILRB	UNIPROT:Q9UKJ0|GENE:29990
UNIPROT:Q6P461:T116:PRGE	Acyl-coenzyme A synthetase ACSM6, mitochondrial|C10orf129	UNIPROT:Q6P461|GENE:142827
UNIPROT:Q86XZ4:T116:PRGE	Spermatogenesis-associated serine-rich protein 2|SPATS2	UNIPROT:Q86XZ4|GENE:65244
UNIPROT:A8MW99:T116:PRGE	UPF0623 protein	UNIPROT:A8MW99
UNIPROT:Q8N831:T116:PRGE	Testis-specific Y-encoded-like protein 6|TSPYL6	UNIPROT:Q8N831|GENE:388951
UNIPROT:Q8IUK5:T116:PRGE	Plexin domain-containing protein 1|PLXDC1	UNIPROT:Q8IUK5|GENE:57125
UNIPROT:P51956:T116:PRGE	Serine/threonine-protein kinase Nek3|NEK3	UNIPROT:P51956|GENE:4752
UNIPROT:Q8N6C5:T116:PRGE	Immunoglobulin superfamily member 1|IGSF1	UNIPROT:Q8N6C5|GENE:3547
UNIPROT:Q86UX7:T116:PRGE	Fermitin family homolog 3|FERMT3	UNIPROT:Q86UX7|GENE:83706
UNIPROT:Q8NHP7:T116:PRGE	Exonuclease 3'-5' domain-containing protein 1|EXD1	UNIPROT:Q8NHP7|GENE:161829
UNIPROT:Q16543:T116:PRGE	Hsp90 co-chaperone Cdc37|CDC37	UNIPROT:Q16543|GENE:11140
UNIPROT:Q5JTH9:T116:PRGE	RRP12-like protein|RRP12	UNIPROT:Q5JTH9|GENE:23223
UNIPROT:Q9H3U1:T116:PRGE	Unc-45A|UNC45A	UNIPROT:Q9H3U1|GENE:55898
UNIPROT:A6NMZ7:T116:PRGE	Collagen alpha-6(VI) chain|COL6A6	UNIPROT:A6NMZ7|GENE:131873
UNIPROT:Q96T52:T116:PRGE	Mitochondrial inner membrane protease subunit 2|IMMP2L	UNIPROT:Q96T52|GENE:83943
UNIPROT:P48307:T116:PRGE	TFPI-2|TFPI2	UNIPROT:P48307|GENE:7980
UNIPROT:Q9H8Y1:T116:PRGE	Uncharacterized protein C14orf115|VRTN	UNIPROT:Q9H8Y1|GENE:55237
UNIPROT:Q92618:T116:PRGE	Zinc finger protein 516|ZNF516	UNIPROT:Q92618|GENE:9658
UNIPROT:P37088:T116:PRGE	Amiloride-sensitive sodium channel subunit alpha|SCNN1A	UNIPROT:P37088|GENE:6337
UNIPROT:Q16595:T116:PRGE	Frataxin, mitochondrial|FXN	UNIPROT:Q16595|GENE:2395
UNIPROT:Q5XG92:T116:PRGE	Carboxylesterase 8|CES4A	UNIPROT:Q5XG92|GENE:283848
UNIPROT:P49441:T116:PRGE	IPPase|INPP1	UNIPROT:P49441|GENE:3628
UNIPROT:Q9UGI0:T116:PRGE	Ubiquitin thioesterase ZRANB1|ZRANB1	UNIPROT:Q9UGI0|GENE:54764
UNIPROT:P35052:T116:PRGE	Glypican-1|GPC1	UNIPROT:P35052|GENE:2817
UNIPROT:Q8NAS9:T116:PRGE	Uncharacterized protein C5orf17	UNIPROT:Q8NAS9
UNIPROT:A6NDN8:T116:PRGE	Putative ubiquitin-like protein FUBI-like protein ENSP00000310146	UNIPROT:A6NDN8
UNIPROT:Q9Y446:T116:PRGE	Plakophilin-3|PKP3	UNIPROT:Q9Y446|GENE:11187
UNIPROT:A1L162:T116:PRGE	Uncharacterized protein LOC285141|LOC285141	UNIPROT:A1L162|GENE:285141
UNIPROT:Q86XA0:T116:PRGE	UPF0563 protein C17orf95|METTL23	UNIPROT:Q86XA0|GENE:124512
UNIPROT:O75794:T116:PRGE	Cell division cycle protein 123 homolog|CDC123	UNIPROT:O75794|GENE:8872
UNIPROT:P59797:T116:PRGE	SelV|SELV	UNIPROT:P59797|GENE:348303
UNIPROT:Q6P2D0:T116:PRGE	Zfp-1|ZFP1	UNIPROT:Q6P2D0|GENE:162239
UNIPROT:P04000:T116:PRGE	Red-sensitive opsin|OPN1LW	UNIPROT:P04000|GENE:5956
UNIPROT:Q8NCQ7:T116:PRGE	Protein PROCA1|PROCA1	UNIPROT:Q8NCQ7|GENE:147011
UNIPROT:Q6NXR4:T116:PRGE	Uncharacterized protein C8orf41|TTI2	UNIPROT:Q6NXR4|GENE:80185
UNIPROT:Q14525:T116:PRGE	Keratin, type I cuticular Ha3-II|KRT33B	UNIPROT:Q14525|GENE:3884
UNIPROT:Q8IY17:T116:PRGE	Neuropathy target esterase|PNPLA6	UNIPROT:Q8IY17|GENE:10908
UNIPROT:O14976:T116:PRGE	Cyclin-G-associated kinase|GAK	UNIPROT:O14976|GENE:2580
UNIPROT:Q5VYP0:T116:PRGE	Protein FAM75A3|FAM75A3	UNIPROT:Q5VYP0|GENE:727830
UNIPROT:Q96NS1:T116:PRGE	Protein yippee-like 4|YPEL4	UNIPROT:Q96NS1|GENE:219539
UNIPROT:Q96GA3:T116:PRGE	Protein LTV1 homolog|LTV1	UNIPROT:Q96GA3|GENE:84946
UNIPROT:P01613:T116:PRGE	Ig kappa chain V-I region Ni	UNIPROT:P01613
UNIPROT:P06727:T116:PRGE	Apo-AIV	UNIPROT:P06727
UNIPROT:Q969X6:T116:PRGE	Cirhin|CIRH1A	UNIPROT:Q969X6|GENE:84916
UNIPROT:A3KMH1:T116:PRGE	Uncharacterized protein KIAA0564|KIAA0564	UNIPROT:A3KMH1|GENE:23078
UNIPROT:Q9NPA0:T116:PRGE	UPF0480 protein C15orf24|C15orf24	UNIPROT:Q9NPA0|GENE:56851
UNIPROT:Q8NCN4:T116:PRGE	RING finger protein 169|RNF169	UNIPROT:Q8NCN4|GENE:254225
UNIPROT:Q5T1M5:T116:PRGE	FKBP-15|FKBP15	UNIPROT:Q5T1M5|GENE:23307
UNIPROT:Q7L985:T116:PRGE	|LINGO2	UNIPROT:Q7L985|GENE:158038
UNIPROT:Q8N126:T116:PRGE	Cell adhesion molecule 3|CADM3	UNIPROT:Q8N126|GENE:57863
UNIPROT:P54762:T116:PRGE	Ephrin type-B receptor 1|EPHB1	UNIPROT:P54762|GENE:2047
UNIPROT:P22891:T116:PRGE	Vitamin K-dependent protein Z|PROZ	UNIPROT:P22891|GENE:8858
UNIPROT:Q9Y6Q2:T116:PRGE	Stonin-1|STON1	UNIPROT:Q9Y6Q2|GENE:11037
UNIPROT:Q8WWZ1:T116:PRGE	IL-1F10|IL1F10	UNIPROT:Q8WWZ1|GENE:84639
UNIPROT:A6NNS2:T116:PRGE	Dehydrogenase/reductase SDR family member 7C|DHRS7C	UNIPROT:A6NNS2|GENE:201140
UNIPROT:Q9HCX3:T116:PRGE	Zinc finger protein 304|ZNF304	UNIPROT:Q9HCX3|GENE:57343
UNIPROT:Q13227:T116:PRGE	G protein pathway suppressor 2|GPS2	UNIPROT:Q13227|GENE:2874
UNIPROT:Q5SWL8:T116:PRGE	PRAME family member 19	UNIPROT:Q5SWL8
UNIPROT:Q9H7X7:T116:PRGE	Rab-like protein 5|RABL5	UNIPROT:Q9H7X7|GENE:64792
UNIPROT:P01138:T116:PRGE	Beta-NGF|NGF	UNIPROT:P01138|GENE:4803
UNIPROT:P12111:T116:PRGE	Collagen alpha-3(VI) chain|COL6A3	UNIPROT:P12111|GENE:1293
UNIPROT:P29466:T116:PRGE	Caspase-1|CASP1	UNIPROT:P29466|GENE:834
UNIPROT:Q9HBA9:T116:PRGE	Putative N-acetylated-alpha-linked acidic dipeptidase|FOLH1B	UNIPROT:Q9HBA9|GENE:219595
UNIPROT:P0C672:T116:PRGE	Putative tetraspanin-19|TSPAN19	UNIPROT:P0C672|GENE:144448
UNIPROT:A2A3N6:T116:PRGE	Putative PIP5K1A and PSMD4-like protein	UNIPROT:A2A3N6
UNIPROT:Q8NFY9:T116:PRGE	Kelch repeat and BTB domain-containing protein 8|KBTBD8	UNIPROT:Q8NFY9|GENE:84541
UNIPROT:Q8NET5:T116:PRGE	NFAT activation molecule 1|NFAM1	UNIPROT:Q8NET5|GENE:150372
UNIPROT:O75951:T116:PRGE	Lysozyme-like protein 6|LYZL6	UNIPROT:O75951|GENE:57151
UNIPROT:O14717:T116:PRGE	tRNA (cytosine-5-)-methyltransferase|TRDMT1	UNIPROT:O14717|GENE:1787
UNIPROT:Q8N3L3:T116:PRGE	Beta-taxilin|TXLNB	UNIPROT:Q8N3L3|GENE:167838
UNIPROT:Q68DY9:T116:PRGE	Zinc finger protein 772|ZNF772	UNIPROT:Q68DY9|GENE:400720
UNIPROT:Q6P444:T116:PRGE	Protein FAM54A|FAM54A	UNIPROT:Q6P444|GENE:113115
UNIPROT:Q9UIL4:T116:PRGE	Kinesin-like protein KIF25|KIF25	UNIPROT:Q9UIL4|GENE:3834
UNIPROT:Q9BRQ0:T116:PRGE	Pygopus homolog 2|PYGO2	UNIPROT:Q9BRQ0|GENE:90780
UNIPROT:Q5EE01:T116:PRGE	CENP-W|CENPW	UNIPROT:Q5EE01|GENE:387103
UNIPROT:Q9Y2J8:T116:PRGE	Protein-arginine deiminase type-2|PADI2	UNIPROT:Q9Y2J8|GENE:11240
UNIPROT:Q17RA5:T116:PRGE	Putative uncharacterized protein C21orf49	UNIPROT:Q17RA5
UNIPROT:Q96H55:T116:PRGE	Myosin-XIX|MYO19	UNIPROT:Q96H55|GENE:80179
UNIPROT:Q8N7E2:T116:PRGE	Zinc finger protein 645|ZNF645	UNIPROT:Q8N7E2|GENE:158506
UNIPROT:O95279:T116:PRGE	Potassium channel subfamily K member 5|KCNK5	UNIPROT:O95279|GENE:8645
UNIPROT:P62310:T116:PRGE	U6 snRNA-associated Sm-like protein LSm3|LSM3	UNIPROT:P62310|GENE:27258
UNIPROT:Q9BUH8:T116:PRGE	Brain-enriched guanylate kinase-associated protein|BEGAIN	UNIPROT:Q9BUH8|GENE:57596
UNIPROT:Q8IYX0:T116:PRGE	Zinc finger protein 679|ZNF679	UNIPROT:Q8IYX0|GENE:168417
UNIPROT:Q0P641:T116:PRGE	Uncharacterized protein C2orf80|C2orf80	UNIPROT:Q0P641|GENE:389073
UNIPROT:Q6NSW5:T116:PRGE	Protein FAM45B	UNIPROT:Q6NSW5
UNIPROT:Q9UBT3:T116:PRGE	Dkk-4|DKK4	UNIPROT:Q9UBT3|GENE:27121
UNIPROT:Q13185:T116:PRGE	Chromobox protein homolog 3|CBX3	UNIPROT:Q13185|GENE:11335
UNIPROT:Q5VYY1:T116:PRGE	Ankyrin repeat domain-containing protein 22|ANKRD22	UNIPROT:Q5VYY1|GENE:118932
UNIPROT:Q8NGQ1:T116:PRGE	Olfactory receptor 9G4|OR9G4	UNIPROT:Q8NGQ1|GENE:283189
UNIPROT:Q9HD15:T116:PRGE	Steroid receptor RNA activator 1|SRA1	UNIPROT:Q9HD15|GENE:10011
UNIPROT:Q96RW7:T116:PRGE	Hemicentin-1|HMCN1	UNIPROT:Q96RW7|GENE:83872
UNIPROT:P29965:T116:PRGE	CD40-L|CD40LG	UNIPROT:P29965|GENE:959
UNIPROT:Q9HD42:T116:PRGE	Charged multivesicular body protein 1a|CHMP1A	UNIPROT:Q9HD42|GENE:5119
UNIPROT:Q96QB1:T116:PRGE	Rho GTPase-activating protein 7|DLC1	UNIPROT:Q96QB1|GENE:10395
UNIPROT:P51786:T116:PRGE	Zinc finger protein 157|ZNF157	UNIPROT:P51786|GENE:7712
UNIPROT:P01116:T116:PRGE	GTPase KRas|KRAS	UNIPROT:P01116|GENE:3845
UNIPROT:Q9BVV6:T116:PRGE	Uncharacterized protein KIAA0586|KIAA0586	UNIPROT:Q9BVV6|GENE:9786
UNIPROT:Q14954:T116:PRGE	Killer cell immunoglobulin-like receptor 2DS1|KIR2DS1	UNIPROT:Q14954|GENE:3806
UNIPROT:O43194:T116:PRGE	G-protein coupled receptor 39|GPR39	UNIPROT:O43194|GENE:2863
UNIPROT:Q8NGY0:T116:PRGE	Olfactory receptor 10X1|OR10X1	UNIPROT:Q8NGY0|GENE:128367
UNIPROT:Q13217:T116:PRGE	DnaJ homolog subfamily C member 3|DNAJC3	UNIPROT:Q13217|GENE:5611
UNIPROT:P01893:T116:PRGE	Putative HLA class I histocompatibility antigen, alpha chain H	UNIPROT:P01893
UNIPROT:Q5T200:T116:PRGE	Zinc finger CCCH domain-containing protein 13|ZC3H13	UNIPROT:Q5T200|GENE:23091
UNIPROT:Q96C19:T116:PRGE	EF-hand domain-containing protein D2|EFHD2	UNIPROT:Q96C19|GENE:79180
UNIPROT:O43865:T116:PRGE	AdoHcyase 2|AHCYL1	UNIPROT:O43865|GENE:10768
UNIPROT:Q02978:T116:PRGE	Mitochondrial 2-oxoglutarate/malate carrier protein|SLC25A11	UNIPROT:Q02978|GENE:8402
UNIPROT:Q9P0V9:T116:PRGE	Septin-10|SEPT10	UNIPROT:Q9P0V9|GENE:151011
UNIPROT:Q8NFP4:T116:PRGE	MAM domain-containing glycosylphosphatidylinositol anchor protein 1|MDGA1	UNIPROT:Q8NFP4|GENE:266727
UNIPROT:Q6NS38:T116:PRGE	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2|ALKBH2	UNIPROT:Q6NS38|GENE:121642
UNIPROT:O94880:T116:PRGE	PHD finger protein 14|PHF14	UNIPROT:O94880|GENE:9678
UNIPROT:Q8NEM7:T116:PRGE	Protein FAM48A|FAM48A	UNIPROT:Q8NEM7|GENE:55578
UNIPROT:Q8WY41:T116:PRGE	NOS-1|NANOS1	UNIPROT:Q8WY41|GENE:340719
UNIPROT:Q8N1H7:T116:PRGE	Protein SIX6OS1	UNIPROT:Q8N1H7
UNIPROT:Q8N661:T116:PRGE	Transmembrane protein 86B|TMEM86B	UNIPROT:Q8N661|GENE:255043
UNIPROT:P61578:T116:PRGE	HERV-K_10p14 provirus Rec protein	UNIPROT:P61578
UNIPROT:Q8NHV9:T116:PRGE	Rhox homeobox family member 1|RHOXF1	UNIPROT:Q8NHV9|GENE:158800
UNIPROT:Q70IA6:T116:PRGE	Mps one binder kinase activator-like 2|MOB2	UNIPROT:Q70IA6|GENE:81532
UNIPROT:Q9BSH4:T116:PRGE	Translational activator of cytochrome c oxidase 1|TACO1	UNIPROT:Q9BSH4|GENE:51204
UNIPROT:Q9HC21:T116:PRGE	Mitochondrial thiamine pyrophosphate carrier|SLC25A19	UNIPROT:Q9HC21|GENE:60386
UNIPROT:Q8N257:T116:PRGE	Histone H2B type 3-B|HIST3H2BB	UNIPROT:Q8N257|GENE:128312
UNIPROT:Q53G44:T116:PRGE	Interferon-induced protein 44-like|IFI44L	UNIPROT:Q53G44|GENE:10964
